Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
38675,143,6,32393,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.354335813293,8098.25,9362.365348386416,16895.0,3.0,15490.0,7745.0,10948.841399892504,15487.0,3.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,60,40,92.6126014879758,61.7417343253172,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Generic
38130,22647,6,17639,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.4627813368105,4409.75,5100.995744296728,9316.0,4.0,8314.0,4157.0,5873.228924535464,8310.0,4.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,60,40,170.0776688020863,113.3851125347242,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exploits
62819,1900,6,146834,7,3,166.0,0.0,83.0,0.0,23.71428571428572,40.49985302736413,0.0,0.0,0.0,0.0,1130.5283517441464,68.10411757494859,16314.888888888889,28671.65699538677,86357.0,4.0,145906.0,24317.666666666668,33854.33963713761,86357.0,4.0,134800.0,67400.0,95306.68039544762,134792.0,8.0,0,0,0,0,172,76,47.67288230246401,20.43123527248457,0.0,83.0,15.09090909090909,33.57515315066946,1127.290909090909,2,4,0,0,8,0,0,0,0.0,16.6,23.714285714285715,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exploits
45128,53,6,521377,6,3,216.0,0.0,108.0,0.0,36.0,55.770960185386805,0.0,0.0,0.0,0.0,414.2875500837207,17.261981253488358,65172.125,77509.62872985062,207729.0,5.0,416645.0,83329.0,114095.00752443114,208897.0,5.0,423854.0,211927.0,299698.72392454394,423846.0,8.0,0,0,0,0,152,76,11.507987502325571,5.7539937511627866,0.0,108.0,21.6,45.53679830642466,2073.6000000000004,1,4,0,0,7,0,0,0,0.0,24.0,36.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
60269,179,6,68280,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22788517867605,17070.0,19707.56408082948,34527.0,2.0,34535.0,17267.5,24408.618979778435,34527.0,8.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,60,40,43.93673110720563,29.29115407147042,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Generic
36944,139,6,1567433,14,12,1564.0,1308.0,273.0,0.0,111.71428571428572,97.29370963256532,342.0,0.0,109.0,131.21391278782485,1832.2952241020828,16.587630858862866,62697.31999999999,85924.32069837193,288178.0,2.0,1567433.0,120571.76923076922,175237.38970424942,580831.0,4.0,1338757.0,121705.1818181818,185219.803347708,606741.0,2.0,0,0,0,0,312,256,8.93180123169539,7.655829627167477,0.0,342.0,106.37037037037037,111.6733382367272,12470.934472934476,0,4,0,0,24,0,0,0,0.0,110.46153846153848,111.71428571428572,109.0,0,0,0,2872,18,2480,0,0,0,0,16383,16383,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
37202,80,6,166503,6,3,756.0,0.0,378.0,0.0,126.0,195.19836064885385,0.0,0.0,0.0,0.0,4540.458730473324,54.05308012468243,20812.875000000004,27649.072143757632,65774.0,8.0,117569.0,23513.8,32560.4042926374,65774.0,8.0,160070.0,80035.0,113165.36926109508,160055.0,15.0,0,0,0,0,152,76,36.03538674978829,18.017693374894144,0.0,378.0,75.6,159.3787940724863,25401.6,1,4,0,0,7,0,0,0,0.0,84.0,126.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance
56728,111,6,2301219,6,5,120.0,0.0,60.0,0.0,20.0,30.983866769659336,0.0,0.0,0.0,0.0,52.14627551745401,4.780075255766618,230121.9,392750.11369216826,1092803.0,2.0,943511.0,188702.2,348153.76855378144,801744.0,2.0,2247723.0,561930.75,649352.9505645729,1154913.0,3.0,0,0,0,0,152,116,2.6073137758727003,2.172761479893917,0.0,60.0,9.999999999999998,23.35496832484569,545.4545454545455,1,4,0,0,9,0,0,0,0.0,10.909090909090908,20.0,0.0,0,0,0,0,0,0,6,120,5,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance
45671,80,6,508494,6,3,574.0,0.0,287.0,0.0,95.66666666666666,148.2061627148705,0.0,0.0,0.0,0.0,1128.8235456072246,17.69932388582756,63561.75,83776.82707348137,199785.0,3.0,332053.0,66410.6,94007.4800178156,199785.0,3.0,413528.0,206764.0,292390.0682341998,413515.0,13.0,0,0,0,0,152,76,11.799549257218374,5.899774628609187,0.0,287.0,57.4,121.00982512910998,14643.377777777778,1,4,0,0,7,0,0,0,0.0,63.77777777777778,95.66666666666669,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exploits
43554,520,17,5,2,0,1234.0,0.0,617.0,617.0,617.0,0.0,0.0,0.0,0.0,0.0,246800000.0,400000.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,400000.0,0.0,617.0,617.0,617.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,925.5,617.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Generic
